symptoms,label,description
Shallow_breathing,Shallow breathing,"Shallow breathing, or chest breathing is the drawing of minimal breath into the lungs, usually by drawing air into the chest area using the intercostal muscles rather than throughout the lungs via the diaphragm."
Sneezing,Sneezing,Making a sudden involuntary expulsion of air from the nose and mouth due to irritation of one's nostrils.
Snoring,Snoring,Snoring is noisy breathing during animals sleep.
Bloody_diarrhea,Bloody diarrhea,Blood in the stool or diarrhea.
Diarrhea,Diarrhea,A condition in which faeces are discharged from the bowels frequently and in a liquid form.
Foul_feces,Foul feces,"Foul-smelling stools having unusually strong, putrid smell."
Pasty_feces,Pasty feces,Pasty or sticky stools
Vomiting,Vomiting,Vomiting
Dark_feces,Dark feces,Dark colored stool or feces.
Watery_feces,Watery feces,Loose or watery stools
Collapse,Collapse,Frequent sudden falling of animals or weak animals.
Convulsions,Convulsions,Indoluntary shakes of animal's body rapidly and uncontrollably.
Head_tilting,Head tilting,Twisted or abnormal position of animal's head or heck.
Hyperactivity,Hyperactivity,Constantly active and sometimes disruptive behaviour of the animal.
Immobility,Immobility,Animal inability to move or motionlessness.
Jaw_immobility,Jaw immobility,Jaw locking or unable to move jaw.
Muscle_rigidity,Muscle rigidity,"Inability of the muscles to relax normally caused by muscle tension, rigor, or stiffness."
Muscle_spasms,Muscle spasms,Muscle spasm is an involuntary contraction of a muscle that can cause a great deal of pain.
Painful_movement,Painful movement,Visible pain in movement.
Paralysis,Paralysis,"The loss of the ability to move (and sometimes to feel anything) in part or most of the body,"
Recumbency,Recumbency,"The state of leaning, resting, or reclining : repose; also : a recumbent position."
Staying_in_isolation,Staying in isolation,Staying in isolation
Tremor_or_Seizures_or_Fits,Tremor or Seizures or Fits,"Unintentional, rhythmic muscle movement involving to-and-fro movements (oscillations) of one or more parts of the body."
Elbow_turned_out,Elbow turned out,Elbow turned out or elbow bent out.
Erect_tail,Erect tail,Erect tail
Joint_pain,Joint pain,Pain in Joint or bond.
Joint_swelling,Joint swelling,"Swelling, redness, or warmth around the joint"
Lameness,Lameness,Lameness is an abnormal gait or stance of an animal that is the result of dysfunction of the locomotor system.
Stiffness_of_ears,Stiffness of ears,Rigidity in animal ear muscle.
Upright_ear,Upright ear,Vertical or upright position of ear.
Incoordiation,Incoordiation,"Lack of coordination, especially the inability to use different parts of the body together smoothly and efficiently."
Wobbling,Wobbling,Movement of animal body unsteadily from side to side.
Abdomen_dilatation,Abdomen dilatation,Abdomen dilatation
Emaciation,Emaciation,Abnormal thinness caused by lack of nutrition or by disease.
Swollen_face,Swollen face,Swollen face
Lymph_node_enlargement,Lymph node enlargement,Enlargement of lymph nodes.
Snout_deviation,Snout deviation,Disfigure in projecting nose and mouth of an animal.
Wrinkled_snout,Wrinkled snout,Wrinkled in projecting nose and mouth of an animal.
Discharge_from_eye,Discharge from eye,Eye discharge associated with viral pink eye typically is clear and watery.
Discharge_from_nose,Discharge from nose,Liquid or watery discharge from animal nose.
Nose_bleeding,Nose bleeding,Blood discharge from animal nose.
Blood_in_urine,Blood in urine,Blood in urine
Vaginal_discharge,Vaginal discharge,Vaginal discharge
Testicle_swelling,Testicle swelling,Swelling of animal Testicle.
Swollen_udder,Swollen udder,Swollen in animal  mammary gland.
Painful_swellings,Painful swellings,Painful swellings
