symptoms,label,description
Enteritis,Enteritis,NA
Erosions,Erosions,NA
Gas,Gas,NA
Intestine_Granuloma,Intestine Granuloma,NA
Haemorrhages_or_Petechiae_or_Echymosis_in_Intestine,Haemorrhages or Petechiae or Echymosis in Intestine,NA
Intestine_Necrosis,Intestine Necrosis,NA
Intestine_Oedema,Intestine Oedema,NA
Intestine_Obstruction ,Intestine Obstruction ,NA
Sluffling_Intestine,Sluffling Intestine,NA
Liver_Abscess,Liver Abscess,NA
Liver_Cyst,Liver Cyst,NA
Liver_Degeneration,Liver Degeneration,NA
Haemorrhages_or_Petechiae_or_Echymosis_in_Liver,Haemorrhages or Petechiae or Echymosis in Liver,NA
Hepatitis,Hepatitis,NA
Embolic_lesions_in_Liver,Embolic lesions in Liver,NA
Hepatomegaly,Hepatomegaly,NA
Liver_Necrosis,Liver Necrosis,NA
Liver_Tubercles,Liver Tubercles,NA
Spleen_Abscess,Spleen Abscess,NA
Haemorrhages_or_Petechiae_or_Echymosis_in_Spleen,Haemorrhages or Petechiae or Echymosis in Spleen,NA
Embolic_lesions_in_Spleen,Embolic lesions in Spleen,NA
Spleen_Necrosis,Spleen Necrosis,NA
Spleenomegaly_or_Enlargement_in_Spleen,Spleenomegaly or Enlargement in Spleen,NA
Spleen_Tubercles,Spleen Tubercles,NA
Gall_bladder_Haemorrhages,Gall bladder Haemorrhages,NA
Gall_bladder_Infections,Gall bladder Infections,NA
Obstruction_in_Bile_duct,Obstruction in Bile duct,NA
Bile_duct_Infections,Bile duct Infections,NA
Bile_duct_Enlargement,Bile duct Enlargement,NA
Pancreatic_duct_Enlargement,Pancreatic duct Enlargement,NA
Pancreatic_duct_Infections,Pancreatic duct Infections,NA
Occlussions ,Occlussions ,NA
Abscess_or_White_spot_on_Kidney,Abscess or White spot on Kidney,NA
Kidney_Degeneration,Kidney Degeneration,NA
Kidney_Enlargement,Kidney Enlargement,NA
Granular_deposition,Granular deposition,NA
Embolic_lesions_in_Kidney,Embolic lesions in Kidney,NA
Haemorrhages_or_Petechiae_or_Echymosis_in_Kidney,Haemorrhages or Petechiae or Echymosis in Kidney,NA
Kidney_Oedema,Kidney Oedema,NA
Kidney_Necrosis,Kidney Necrosis,NA
Nephritis,Nephritis,NA
Cystitis,Cystitis,NA
Haemorrhages_or_Petechiae_or_Echymosis_in_Urinary_bladder,Haemorrhages or Petechiae or Echymosis in Urinary bladder,NA
Metritis_or_Endometritis,Metritis or Endometritis,NA
Nodule_or_Miliary_nodules,Nodule or Miliary nodules,NA
Pyometra,Pyometra,NA
Testicles_Abscess,Testicles Abscess,NA
Epididymtitis,Epididymtitis,NA
Testicles_Granuloma,Testicles Granuloma,NA
Haemorrhages_or_Petechiae_or_Echymosis_in_Testicles,Haemorrhages or Petechiae or Echymosis in Testicles,NA
Orchitis,Orchitis,NA
Joint_or_Bone_Abscess,Joint or Bone Abscess,NA
Osteomyelitis,Osteomyelitis,NA
Arthritis_or_Polyarthritis,Arthritis or Polyarthritis,NA
Tenosynovitis,Tenosynovitis,NA
Suppuration_of_intervertebral_disc,Suppuration of intervertebral disc,NA
Synovitis,Synovitis,NA
Serosanguineous_fluid_in_Abdominal_cavity,Serosanguineous fluid in Abdominal cavity,NA
Ascitis,Ascitis,NA
Serosous_membrane_Cyst,Serosous membrane Cyst,NA
Polyserositis,Polyserositis,NA
Peritonitis,Peritonitis,NA
Hydrothorax,Hydrothorax,NA
Serosanguineous_fluid_in_Thorasic_cavity,Serosanguineous fluid in Thorasic cavity,NA
Brochial_Oedema,Brochial Oedema,NA
Frothy_fluid,Frothy fluid,NA
Jaundice,Jaundice,NA
PMI_Method_Visual,PMI Method Visual,NA
Generalized,Generalized,NA
Localized,Localized,NA
